model,search_auc_roc,final_auc_roc,final_auc_roc_std,final_auc_pr,final_f1,final_brier,final_ece,best_params,elapsed_s
RandomForest,0.8936,0.8855,0.0199,0.7174,0.6685,0.0684,0.1006,"{""random_state"": 42, ""n_estimators"": 500, ""max_depth"": 15, ""min_samples_leaf"": 8, ""min_samples_split"": 5, ""class_weight"": ""balanced""}",374.9
XGBoost,0.8889,0.887,0.0198,0.7266,0.5918,0.1128,0.2197,"{""random_state"": 42, ""scale_pos_weight"": 6.978688524590164, ""n_estimators"": 200, ""max_depth"": 4, ""learning_rate"": 0.01, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""min_child_weight"": 1}",97.9
LightGBM,0.8831,0.888,0.0177,0.7286,0.5919,0.0912,0.1436,"{""random_state"": 42, ""n_estimators"": 500, ""num_leaves"": 15, ""learning_rate"": 0.01, ""class_weight"": ""balanced""}",528.4
