Model,AUC-ROC,AUC-PR,F1,Precision,Recall,Accuracy
Logistic Regression,0.47937978749691124,0.12321044770355616,0.16744186046511628,0.12949640287769784,0.23684210526315788,0.7058340180772391
XGBoost,0.4997343711391154,0.12278050672527702,0.07086614173228346,0.08823529411764706,0.05921052631578947,0.8060805258833197
Random Forest,0.48698418581665426,0.12285502211048417,0.060085836909871244,0.08641975308641975,0.046052631578947366,0.8200493015612161
LightGBM,0.4947553743513714,0.12024373085296007,0.06716417910447761,0.07758620689655173,0.05921052631578947,0.7945768282662284
Sequential LSTM,0.5045898196194712,0.12634157027639772,0.05660377358490566,0.1,0.039473684210526314,0.8356614626129828
Hybrid LSTM,0.8626822337533977,0.6169713424127479,0.4988344988344988,0.3862815884476534,0.7039473684210527,0.8233360723089564
